Brand,DeviceName,PriceInEuro
ZTE,ZTE Axon 9 Pro,650
YU,YU Yureka 2,144
Yota,Yota YotaPhone 3,310
Yezz,Yezz Epic T,250
XOLO,XOLO Era 2X,0
Xiaomi,Xiaomi Mi Mix 3,560
Wiko,Wiko View2 Pro,300
Vodafone,Vodafone Smart V8,230
vivo,vivo NEX Dual Display,700
verykool,verykool s5702 Royale Quattro,0
TECNO,TECNO Camon 11 Pro,0
T-Mobile,T-Mobile Revvl,109.5
Sony,Sony Xperia XZ2 Premium,900
Sonim,Sonim XP8,700
Sharp,Sharp Aquos Zero,600
Samsung,Samsung Galaxy Note9,750
Realme,Realme 2 Pro,210
Razer,Razer Phone 2,850
QMobile,QMobile M6,354
Plum,Plum Tag 2 3G,0
Panasonic,Panasonic Eluga X1 Pro,350
Palm,Palm Palm,300
Oppo,Oppo Find X Lamborghini,1700
OnePlus,OnePlus 6T McLaren,700
Nokia,Nokia 8 Sirocco,550
Motorola,Motorola Moto Z3,420.48
Micromax,Micromax Dual 5,360
Meizu,Meizu Pro 7 Plus,500
Maxwest,Maxwest Nitro 55M,0
LG,LG V40 ThinQ,800
Lenovo,Lenovo ZUK Edge,450
LeEco,LeEco Le Pro 3 AI Edition,280
Lava,Lava Z25,250
Kyocera,Kyocera DuraForce Pro 2,388.944
Infinix,Infinix Smart 2 HD,0
Huawei,Huawei Mate 20 RS Porsche Design,1600
HTC,HTC U11+,660
Honor,Honor View 20,570
Haier,Haier L7,120
Google,Google Pixel 3 XL,960
Gionee,Gionee M7 Plus,670
Energizer,Energizer Hardcase H550S,450
Coolpad,Coolpad Cool S1,420
Cat,Cat S61,900
BQ,BQ Aquaris X2 Pro,390
BLU,BLU Vivo XI+,289.08
Blackview,Blackview P6000,250
BlackBerry,BlackBerry KEY2,500
Asus,Asus ROG Phone,950
Archos,Archos Diamond Alpha +,400
Apple,Apple iPhone XS Max,1250
Allview,Allview X4 Soul Infinity Plus,450
alcatel,alcatel A7 XL,260
